Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
ASUS Tuf Gaming F16 Fx607vj Rl034w,Asus,Intel,Core 5,210,4.8,16.0,DDR4,,512,16.0,1920 x 1080,144,NVIDIA,2.2,"56WHrs, 4S1P, 4-cell Li-ion",24540000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,data/anphat/raw_htmls\asus_55.html,data/anphat/detail_htmls\asus_55_specs.html
ASUS Tuf Gaming A15 Fa506ncg Hn184w,Asus,AMD,Ryzen 7,7445,4.7,16.0,DDR5,5600,512,15.6,1920 x 1080,144,NVIDIA,2.3,3-cell 48WHrs,22990000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-a15-fa506ncg-hn184w.html,data/anphat/raw_htmls\asus_57.html,data/anphat/detail_htmls\asus_57_specs.html
ASUS Gaming V16 V3607vu Rp343w,Asus,Intel,Core 5,210,4.8,16.0,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",26990000,https://www.anphatpc.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html,data/anphat/raw_htmls\asus_58.html,data/anphat/detail_htmls\asus_58_specs.html
ASUS Gaming V16 V3607vh Rp025w,Asus,Intel,Core 7,240,5.2,16.0,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",30999000,https://www.anphatpc.com.vn/laptop-asus-gaming-v16-v3607vh-rp025w.html,data/anphat/raw_htmls\asus_59.html,data/anphat/detail_htmls\asus_59_specs.html
ASUS Gaming V16 V3607vu Rp216w,Asus,Intel,Core 7,240,5.2,16.0,DDR5,,512,16.0,FHD,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",27490000,https://www.anphatpc.com.vn/laptop-asus-gaming-v16-v3607vu-rp216w.html,data/anphat/raw_htmls\asus_60.html,data/anphat/detail_htmls\asus_60_specs.html
ASUS Expertbook P1403cva I716 50w,Asus,Intel,Core i7,13620,4.9,16.0,DDR5,,1024,14.0,1920 x 1080,,Intel,1.45,3-cell 50WHrs,19290000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p1403cva-i716-50w.html,data/anphat/raw_htmls\asus_63.html,data/anphat/detail_htmls\asus_63_specs.html
ASUS Expertbook P1403cva I516 50w,Asus,Intel,Core i5,13420,4.6,16.0,,,512,14.0,1920 x 1080,,Intel,1.4,"63WHrs, 3S1P, 3-cell",15590000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p1403cva-i516-50w.html,data/anphat/raw_htmls\asus_62.html,data/anphat/detail_htmls\asus_62_specs.html
ASUS Expertbook P5 P5405csa Nz0442ws,Asus,Intel,Core Ultra 7,258,1.8,32.0,LPDDR5X,,1024,14.0,2560 x 1600,144,Intel,1.27,"63WHrs, 3S1P, 3-cell Li-ion",35999000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p5-p5405csa-nz0442ws.html,data/anphat/raw_htmls\asus_64.html,data/anphat/detail_htmls\asus_64_specs.html
ASUS Expertbook P1503cva I516 50w,Asus,Intel,Core i5,13420,4.6,16.0,DDR5,,512,15.6,1920 x 1080,60,Intel,1.65,3-cell Li-ion,15990000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p1503cva-i516-50w.html,data/anphat/raw_htmls\asus_61.html,data/anphat/detail_htmls\asus_61_specs.html
ASUS Gaming Vivobook 16x K3605vc Rp431w,Asus,Intel,Core i5,13420,4.6,16.0,DDR4,,512,16.0,1920 x 1200,144,NVIDIA,1.8,3 cell 50 Wh,22080000,https://www.anphatpc.com.vn/laptop-asus-gaming-vivobook-16x-k3605vc-rp431w.html,data/anphat/raw_htmls\asus_65.html,data/anphat/detail_htmls\asus_65_specs.html
ASUS Vivobook 16 K3607vj Rp092w,Asus,Intel,Core 5,210,4.8,16.0,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",22999000,https://www.anphatpc.com.vn/laptop-asus-vivobook-16-k3607vj-rp092w.html,data/anphat/raw_htmls\asus_66.html,data/anphat/detail_htmls\asus_66_specs.html
ASUS Vivobook 15 X1504va Bq2076w,Asus,Intel,Core i5,1334,4.6,8.0,DDR4,,512,15.6,1920 x 1080,60,Intel,1.7,"3-cell, 42WHrs",16490000,https://www.anphatpc.com.vn/laptop-asus-vivobook-15-x1504va-bq2076w.html,data/anphat/raw_htmls\asus_68.html,data/anphat/detail_htmls\asus_68_specs.html
ASUS Vivobook 16 A1607qa Mb067ws,Asus,Qualcomm,Snapdragon X  X1,100,2.97,16.0,LPDDR5X,,512,16.0,1920 x 1200,60,Qualcomm,1.88,"50WHrs, 3S1P, 3-cell Li-ion",20990000,https://www.anphatpc.com.vn/laptop-asus-vivobook-16-a1607qa-mb067ws.html,data/anphat/raw_htmls\asus_70.html,data/anphat/detail_htmls\asus_70_specs.html
ASUS Gaming V16 V3607vh Rp024w,Asus,Intel,Core 5,210,4.8,16.0,DDR5,,512,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",27990000,https://www.anphatpc.com.vn/laptop-asus-gaming-v16-v3607vh-rp024w.html,data/anphat/raw_htmls\asus_69.html,data/anphat/detail_htmls\asus_69_specs.html
ASUS Gaming V16 V3607vm Rp044w,Asus,Intel,Core 7,240,5.2,16.0,DDR5,,1024,16.0,1920 x 1200,144,NVIDIA,1.95,"63WHrs, 3S1P, 3-cell Li-ion",37300000,https://www.anphatpc.com.vn/laptop-asus-gaming-v16-v3607vm-rp044w.html,data/anphat/raw_htmls\asus_67.html,data/anphat/detail_htmls\asus_67_specs.html
