Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class,is_contact_price,norm_ram,norm_storage,norm_cpu,norm_weight,norm_screen,norm_price,price_million,base_performance_score,base_portability_score,has_price,ready_for_budget_filter,ready_for_performance_advice,is_light,is_heavy,is_small_screen,is_large_screen,Battery (Wh),norm_battery,gpu_score,battery_score,battery_available,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook
HP Gaming Victus 15 Fa2731tx I5 13420h B85lnpa,hp,Intel,Core I5,13420.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920x1080,144.0,NVIDIA,2.185,52.5 Wh 120 W,24090000.0,data/fpt/detail_htmls\hp_9_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.4534510433386838,0.1865971107544141,0.5842696629213483,0.1256944444444444,24.09,0.627,0.187,True,True,True,False,False,False,True,52.5,0.3073148974130241,0.9,0.3073148974130241,1,0.81675,0.8031,0.3800324546240277,0.2237270805037658,0.4352100206815656,True,True,False,False
HP Omnibook 5 Ai 16 Af1048tu Ultra 5 225u Bz7q9pa,hp,Intel,Core Ultra 5,225.0,4.8,16.0,LPDDR5X,7467.0,512.0,16.0,1920x1200,,Intel,1.734,3 Cell 65 W,23690000.0,data/fpt/detail_htmls\hp_10_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.6460674157303371,0.4105136436597111,0.8487158908507223,0.1229166666666666,23.69,0.723,0.411,True,True,True,False,False,False,True,,,0.45,,0,0.57075,0.5844,0.5695915730337078,0.3907102728731942,0.5875082624398074,False,False,False,False
HP 15 Fd1289tu Ultra 7 155h C2cv8pa,hp,Intel,Core Ultra 7,155.0,4.8,16.0,DDR5,,512.0,15.6,1920x1080,60.0,Intel,1.65,3 Cell 65 W,22890000.0,data/fpt/detail_htmls\hp_11_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.6460674157303371,0.5417335473515249,0.5842696629213483,0.1173611111111111,22.89,0.723,0.542,True,True,True,False,False,False,True,,,0.45,,0,0.57075,0.5844,0.6155185393258427,0.5026484751203852,0.6305630377207063,False,False,True,False
HP Gaming Victus 15 Fb3116ax R7 7445hs Bx9c9pa,hp,AMD,Ryzen 7,7445.0,5.1,16.0,LPDDR5,5600.0,512.0,15.6,1920x1080,144.0,AMD,2.29,52.5 Wh 120 W,27990000.0,data/fpt/detail_htmls\hp_8_specs.html,RTX 4050,DISCRETE_GAMING,False,0.8,0.8,0.8743980738362761,0.1320224719101124,0.5842696629213483,0.1527777777777778,27.99,0.837,0.132,True,True,True,False,False,False,True,52.5,0.3073148974130241,1.0,0.3073148974130241,1,0.92925,0.9211,0.455431331028522,0.19916849302383,0.5377277975676009,True,True,False,False
HP Envy X360 14 Fc0158tu Core Ultra 7 155u,hp,Intel,Core Ultra 7,155.0,0.7,16.0,LPDDR5,,512.0,14.0,2880x1800,120.0,Intel,1.39,59 Wh 65 W,33290000.0,data/fpt/detail_htmls\hp_12_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.0032102728731942,0.819422150882825,0.2114767255216693,0.1895833333333333,33.29,0.402,0.819,True,True,True,True,False,True,False,59.0,0.5370205173951829,0.45,0.5370205173951829,1,0.4905,0.4881,0.5119285220397579,0.6038484689467836,0.4918375287072478,False,False,False,False
HP Omnibook 5 Ai 16 Af1046tu Ultra 5 225u Bz7q8pa,hp,Intel,Core Ultra 5,225.0,4.8,16.0,LPDDR5X,7467.0,512.0,16.0,1920x1200,,Intel,1.734,3 Cell 65 W,24490000.0,data/fpt/detail_htmls\hp_14_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.6460674157303371,0.4105136436597111,0.8487158908507223,0.1284722222222222,24.49,0.723,0.411,True,True,True,False,False,False,True,,,0.45,,0,0.57075,0.5844,0.5695915730337078,0.3907102728731942,0.5875082624398074,False,False,False,False
HP 250r G10 Core 5 120u C3sh7at,hp,Intel,Core 5,120.0,5.0,16.0,DDR4,,512.0,15.6,1920x1080,,Intel,1.53,3 Cell 65 W,18590000.0,data/fpt/detail_htmls\hp_16_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.656099518459069,0.5842696629213483,0.0875,18.59,0.807,0.656,True,True,True,True,False,False,True,,,0.45,,0,0.59175,0.6096,0.6927848314606742,0.5533908507223114,0.7048813443017656,False,True,True,False
HP Gaming Victus 15 Fb3116ax R7 7445hs Bx8u4pa,hp,AMD,Ryzen 7,7445.0,5.1,16.0,LPDDR5,5600.0,512.0,15.6,1920x1080,144.0,NVIDIA,2.29,52.5 Wh 120 W,25990000.0,data/fpt/detail_htmls\hp_13_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.8743980738362761,0.1320224719101124,0.5842696629213483,0.1388888888888889,25.99,0.837,0.132,True,True,True,False,False,False,True,52.5,0.3073148974130241,0.9,0.3073148974130241,1,0.86925,0.8661,0.455431331028522,0.19916849302383,0.5377277975676009,True,True,False,False
HP 15 Fd0083tu I7 1355u,hp,Intel,Core I7,1355.0,1.7,16.0,,,512.0,15.6,1920x1080,60.0,,1.59,3 Cell,22090000.0,data/fpt/detail_htmls\hp_15_specs.html,UNKNOWN,UNKNOWN,False,0.8,0.8,0.0381219903691813,0.6211878009630818,0.5842696629213483,0.1118055555555555,22.09,0.419,0.621,True,True,True,True,False,False,True,,,0.45,,0,0.49475,0.4931999999999999,0.5065275280898877,0.5384028892455859,0.4822679654895666,False,False,False,False
HP Omnibook 5 16 Ag1068au AMD Ai 5 340 Bz7t0pa,hp,AMD,Ryzen AI 5,340.0,4.8,16.0,LPDDR5,7500.0,512.0,16.0,1920x1200,,AMD,1.79,3 Cell 65 W,24790000.0,data/fpt/detail_htmls\hp_17_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.6460674157303371,0.372792937399679,0.8487158908507223,0.1305555555555555,24.79,0.723,0.373,True,True,True,False,False,False,True,,,0.5,,0,0.60075,0.6119,0.5563893258426966,0.3737359550561798,0.5781723876404494,True,True,False,False
