Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
lenovo,Intel,i5-13420h,13.0,,,,,,15.1,2560x1600,,Intel,,,17990000.0
lenovo,Intel,i7-13620h,13.0,,16.0,,,16.0,15.3,1920x1080,,Intel,,,17990000.0
lenovo,,,,,32.0,,,512.0,15.6,,,NVIDIA,,,32990000.0
lenovo,Intel,i5-13420h,13.0,,16.0,,,512.0,15.6,,,Intel,,,14590000.0
lenovo,,,,,,,,,14.0,,,AMD,,,25990000.0
lenovo,,,,,24.0,,,24.0,15.3,2880x1800,,AMD,,,14990000.0
lenovo,,,,,,,,,16.0,2880x1800,,Intel,,,14990000.0
lenovo,,,,,,,,,15.6,,,AMD,,,12290000.0
lenovo,Intel,i7-13620h,13.0,,16.0,,,512.0,15.6,,,Intel,,,17990000.0
lenovo,,,,,16.0,,,512.0,15.6,,144.0,NVIDIA,,,20990000.0
lenovo,,,,,,,,16.0,15.6,,,NVIDIA,,,21990000.0
lenovo,Intel,i7-13620h,13.0,,16.0,,,512.0,14.0,2880x1800,,Intel,,,17990000.0
lenovo,Intel,i5-13420h,13.0,,24.0,,,24.0,14.0,2880x1800,,Intel,,,15890000.0
lenovo,Intel,i5-12450h,12.0,,,,,6.0,15.6,1920x1080,144.0,NVIDIA,,,19490000.0
lenovo,Intel,i5-13420h,13.0,,,,,,14.0,2880x1800,,Intel,,,17490000.0
lenovo,Intel,i5-13420h,13.0,,24.0,DDR5,,24.0,15.3,1920x1200,,Intel,,,15990000.0
lenovo,Intel,Core Ultra 7,,,,,,,14.0,,,Intel,,,28990000.0
lenovo,Intel,Core Ultra 5,,,,,,,14.0,,,Intel,,,24990000.0
lenovo,,,,,,,,8.0,15.3,,,NVIDIA,,,33990000.0
lenovo,,,,,,,,8.0,15.3,,,NVIDIA,,,36990000.0
lenovo,Intel,i5-13420h,13.0,,24.0,,,24.0,15.1,2880x1800,,Intel,,,19490000.0
lenovo,,,,,24.0,,,24.0,15.1,,,NVIDIA,,,40490000.0
lenovo,Intel,i7-13620h,13.0,,24.0,,,512.0,14.0,2880x1800,,Intel,,,18990000.0
lenovo,,,,,,,,8.0,15.1,,,NVIDIA,,,48490000.0
laptop,,,,,,,,,17.0,,,Intel,,,
laptop,,,,,,,,,,,,Intel,,,
acer,,,,,,,,,15.0,,,Intel,,,
laptop,,,,,,,,,15.0,,,Intel,,,
acer,,,,,,,,,15.0,,,Intel,,,
acer,,,,,,,,,17.0,,,NVIDIA,,,
acer,Intel,Core Ultra 5,,,,,,,14.0,,,Intel,,,15990000.0
acer,AMD,Ryzen 7 5700u,5.0,,16.0,,,16.0,15.6,1920x1080,,AMD,,,12290000.0
acer,,,,,16.0,,,512.0,15.6,,180.0,NVIDIA,,,20990000.0
acer,Intel,i5-12500h,12.0,,16.0,DDR5,,16.0,14.0,,,Intel,,,14290000.0
laptop,Intel,Core Ultra 7,,,,,,,16.0,,,Intel,,,18690000.0
laptop,,,,,,,,,16.0,,,Intel,,,16290000.0
acer,Intel,i5-12450h,12.0,,16.0,,,512.0,15.6,,144.0,NVIDIA,,,18690000.0
acer,,,,,16.0,,,512.0,15.6,,,NVIDIA,,,16490000.0
acer,Intel,Core Ultra 5,,,,,,,14.0,,,Intel,,,16990000.0
